date,prectot,qv2m,rh2m,ps,t2m_range,ts,t2mdew,t2mwet,t2m_max,t2m_min,t2m,ws50m_range,ws10m_range,ws50m_min,ws10m_min,ws50m_max,ws10m_max,ws50m,ws10m,yearid
2014-06-16,0.41,8.39,68.89,100.41,10.48,16.71,11.35,11.36,21.43,10.95,17.14,2.2,1.39,1.43,0.94,3.63,2.33,2.52,1.71,2014
2014-06-17,15.54,11.35,79.85,99.8,12.17,19.44,15.73,15.73,25.79,13.62,19.47,7.31,4.99,1.29,0.53,8.6,5.51,3.87,2.56,2014
2014-06-18,4.34,11.4,80.01,99.54,9.32,19.69,15.92,15.92,24.12,14.8,19.48,3.17,2.4,4.62,3.31,7.79,5.71,6.57,4.31,2014
2014-06-19,1.04,8.06,70.79,100.22,9.73,16.66,10.72,10.73,21.05,11.32,16.06,3.04,1.71,4.05,3.03,7.09,4.74,5.94,3.64,2014
2014-06-20,0.54,7.36,71.01,100.17,9.76,15.24,9.35,9.35,18.88,9.12,14.59,3.95,2.5,3.1,1.71,7.04,4.21,5.0,3.17,2014
2014-06-21,0.0,7.8,68.12,99.95,9.23,16.23,10.2,10.2,20.19,10.96,16.11,2.53,1.88,1.69,1.21,4.22,3.09,3.36,2.21,2014
2014-06-22,0.04,8.85,68.19,100.05,10.94,17.95,12.07,12.07,22.84,11.9,18.08,4.31,2.36,0.49,0.38,4.8,2.74,1.78,1.2,2014
2014-06-23,0.06,10.7,74.53,100.24,11.37,19.84,14.98,14.98,24.23,12.87,19.71,4.75,2.17,0.88,0.7,5.63,2.86,3.24,1.99,2014
2014-06-24,30.25,14.08,94.47,99.74,4.88,20.22,19.22,19.22,22.2,17.32,20.21,4.86,3.4,1.73,0.99,6.59,4.39,4.68,2.91,2014
2014-06-25,3.64,12.14,85.71,99.81,5.44,19.59,16.94,16.94,22.25,16.81,19.41,3.31,2.4,3.04,1.6,6.35,4.01,4.81,2.94,2014
2014-06-26,0.25,10.69,70.35,99.99,8.69,20.3,14.97,14.97,24.89,16.2,20.59,4.29,2.82,1.29,0.91,5.58,3.73,3.76,2.57,2014
2014-06-27,0.7,10.04,59.35,100.54,11.49,21.45,14.0,13.99,27.66,16.18,22.45,4.24,2.48,0.08,0.13,4.32,2.61,1.24,0.86,2014
2014-06-28,0.72,11.03,69.35,100.82,11.93,20.91,15.55,15.55,26.51,14.58,21.46,4.05,2.15,0.65,0.44,4.69,2.59,2.76,1.74,2014
2014-06-29,0.33,14.07,80.06,100.39,9.82,22.92,19.28,19.28,27.86,18.04,23.01,5.78,2.43,0.79,0.67,6.57,3.1,3.66,2.23,2014
2014-06-30,2.18,15.93,84.18,99.7,7.82,24.22,21.26,21.26,28.25,20.43,24.1,1.93,2.04,4.46,2.32,6.39,4.36,5.44,3.32,2014
2014-07-01,1.98,17.19,84.72,99.02,8.67,25.09,22.36,22.36,29.74,21.07,25.15,4.59,3.61,4.3,2.6,8.89,6.2,7.0,4.31,2014
2014-07-02,1.71,14.82,81.21,99.31,8.3,23.55,20.04,20.04,27.69,19.39,23.45,2.86,2.84,5.33,3.04,8.19,5.89,6.81,4.25,2014
2014-07-03,5.78,13.3,84.68,99.81,6.67,21.81,18.37,18.37,24.14,17.47,21.07,3.86,2.66,2.11,1.21,5.97,3.87,3.85,2.5,2014
2014-07-04,1.11,9.64,76.59,100.2,7.3,18.37,13.38,13.38,20.76,13.46,17.62,4.74,2.08,2.62,1.95,7.36,4.03,4.62,2.81,2014
2014-07-05,0.79,9.75,72.33,100.0,11.77,18.95,13.38,13.38,23.99,12.22,18.67,5.05,2.66,4.91,3.63,9.96,6.29,7.83,5.04,2014
2014-07-06,2.67,11.17,79.77,99.52,8.93,19.28,15.6,15.6,24.11,15.17,19.2,2.96,3.14,5.52,2.61,8.48,5.75,7.21,4.67,2014
2014-07-07,5.99,13.39,92.9,98.84,6.71,19.63,18.23,18.23,22.88,16.17,19.52,3.28,1.79,4.25,2.72,7.53,4.51,5.95,3.73,2014
2014-07-08,12.18,14.6,84.76,98.73,9.69,22.37,19.65,19.65,26.94,17.25,22.4,3.05,2.01,4.27,2.39,7.32,4.39,5.73,3.39,2014
2014-07-09,2.19,11.58,82.29,99.12,7.15,19.59,16.0,16.0,21.89,14.73,19.2,5.92,5.54,5.34,2.42,11.26,7.96,8.52,5.78,2014
2014-07-10,0.08,8.54,73.33,100.38,8.87,17.06,11.61,11.61,21.0,12.13,16.43,1.89,2.33,4.47,2.22,6.36,4.55,5.34,3.46,2014
2014-07-11,0.77,8.99,69.87,100.79,12.03,18.32,12.42,12.42,23.27,11.24,18.07,3.41,1.73,1.36,1.0,4.76,2.73,3.32,2.02,2014
2014-07-12,1.13,11.24,75.87,100.44,11.84,20.28,15.76,15.76,25.19,13.36,20.24,3.56,1.87,1.78,1.14,5.34,3.02,3.66,2.27,2014
2014-07-13,10.75,14.89,95.09,99.39,5.38,20.94,20.09,20.09,22.79,17.41,20.94,5.95,4.21,2.82,1.5,8.77,5.71,5.94,3.78,2014
2014-07-14,0.18,10.64,74.69,99.52,7.5,19.36,14.78,14.78,23.12,15.63,19.48,6.67,4.47,0.87,0.53,7.53,5.01,4.93,3.29,2014
2014-07-15,3.71,12.63,89.15,99.23,7.6,19.27,17.27,17.27,22.36,14.76,19.32,3.67,2.55,1.28,0.92,4.95,3.47,3.74,2.46,2014
2014-07-16,0.4,11.01,80.94,99.38,7.83,19.09,15.36,15.36,22.3,14.47,18.71,2.53,2.8,4.52,2.46,7.05,5.26,5.95,3.68,2014
2014-07-17,0.38,9.53,80.09,99.98,8.56,17.37,13.23,13.22,20.46,11.91,16.7,1.67,2.12,4.18,2.35,5.85,4.47,5.4,3.36,2014
2014-07-18,0.01,10.29,77.19,100.65,11.3,18.86,14.5,14.5,23.71,12.41,18.59,2.48,1.67,3.35,2.21,5.83,3.89,4.92,2.99,2014
2014-07-19,0.55,11.46,79.32,100.84,11.08,20.2,16.12,16.12,24.72,13.64,19.9,4.57,1.96,0.95,0.74,5.52,2.71,3.3,1.89,2014
2014-07-20,0.18,12.14,77.76,100.55,8.91,21.39,17.09,17.09,24.93,16.03,21.11,3.64,1.49,1.31,1.06,4.95,2.55,3.07,1.95,2014
2014-07-21,0.1,13.01,76.68,100.46,9.35,22.6,18.14,18.14,26.97,17.61,22.45,3.05,0.97,1.95,1.55,5.0,2.51,3.46,2.1,2014
2014-07-22,0.01,14.06,80.0,100.09,8.54,23.12,19.33,19.33,27.17,18.63,22.97,1.85,2.22,4.4,2.34,6.25,4.55,5.51,3.38,2014
2014-07-23,9.03,13.04,84.72,99.39,10.56,20.78,17.74,17.74,24.99,14.44,20.68,3.33,3.38,5.35,2.99,8.68,6.37,6.92,4.29,2014
2014-07-24,3.87,8.53,72.37,99.87,10.31,17.4,11.48,11.48,21.43,11.12,16.53,4.12,2.24,3.18,2.34,7.3,4.59,4.99,3.07,2014
2014-07-25,0.57,10.66,79.73,99.77,9.86,18.85,14.91,14.91,23.31,13.45,18.49,3.2,2.34,4.29,2.94,7.49,5.27,6.22,3.78,2014
2014-07-26,0.54,11.13,78.75,99.55,9.84,19.59,15.54,15.54,23.92,14.07,19.34,3.15,3.53,4.1,1.96,7.25,5.5,5.8,3.58,2014
2014-07-27,6.9,12.73,87.03,98.9,8.93,20.07,17.52,17.52,24.25,15.32,19.78,2.15,2.16,3.53,2.09,5.68,4.25,4.91,3.01,2014
2014-07-28,12.51,10.13,91.17,98.93,3.39,15.81,14.02,14.02,17.04,13.64,15.44,5.05,4.61,4.21,2.11,9.26,6.72,6.93,4.64,2014
2014-07-29,0.61,8.87,76.27,99.48,9.29,16.6,12.07,12.07,20.86,11.56,16.25,3.58,2.25,3.25,1.87,6.83,4.12,4.77,3.23,2014
2014-07-30,1.18,9.3,74.72,100.02,10.33,17.56,12.88,12.88,21.99,11.66,17.41,2.2,1.51,2.35,1.38,4.54,2.89,3.5,2.21,2014
2014-07-31,11.23,10.58,88.52,100.14,6.89,17.0,14.86,14.86,19.94,13.05,16.77,3.48,1.08,2.19,1.73,5.67,2.81,3.89,2.4,2014
2014-08-01,1.6,11.23,78.46,100.49,11.27,19.23,15.81,15.82,24.32,13.05,19.7,4.64,2.91,1.04,0.78,5.68,3.69,3.84,2.43,2014
2014-08-02,0.89,12.62,77.98,100.48,9.91,21.24,17.65,17.65,26.33,16.42,21.68,2.26,1.17,0.53,0.38,2.79,1.54,1.7,1.09,2014
2014-08-03,0.34,11.81,72.5,100.31,9.43,21.7,16.58,16.58,26.49,17.06,21.77,3.01,1.37,0.97,0.61,3.97,1.98,1.96,1.16,2014
2014-08-04,0.4,11.9,74.17,100.12,8.84,21.69,16.67,16.67,26.18,17.34,21.48,3.51,1.83,1.7,1.26,5.21,3.09,3.34,2.04,2014
2014-08-05,4.82,11.79,86.24,100.01,8.15,19.38,16.49,16.49,22.6,14.45,18.88,4.75,2.46,0.9,0.63,5.65,3.1,3.16,2.06,2014
2014-08-06,0.47,9.35,72.65,99.8,12.12,18.68,12.85,12.85,23.44,11.32,17.91,3.5,1.44,2.46,1.96,5.96,3.4,4.17,2.47,2014
2014-08-07,1.11,9.93,77.5,99.9,8.14,18.24,13.86,13.86,21.66,13.52,17.85,2.77,2.08,3.04,1.55,5.82,3.63,4.34,2.61,2014
2014-08-08,0.24,10.61,75.12,100.23,10.31,19.79,14.93,14.93,24.7,14.39,19.45,2.95,1.4,3.44,2.32,6.4,3.71,5.16,3.05,2014
2014-08-09,0.12,10.9,71.88,100.42,11.85,20.97,15.36,15.36,26.28,14.43,20.62,4.64,1.72,1.51,1.08,6.15,2.8,3.81,2.16,2014
2014-08-10,0.06,10.92,64.18,100.46,11.93,22.22,15.38,15.38,27.95,16.02,22.51,5.51,2.24,0.64,0.47,6.14,2.71,2.93,1.74,2014
2014-08-11,0.04,11.95,68.69,100.37,11.3,22.95,16.72,16.72,28.31,17.0,22.86,5.33,2.4,0.34,0.25,5.67,2.65,3.05,1.84,2014
2014-08-12,3.19,11.62,76.43,100.0,7.94,20.66,16.28,16.28,25.11,17.17,20.59,4.47,3.63,4.0,2.3,8.47,5.93,6.64,3.96,2014
2014-08-13,34.4,12.65,93.55,99.21,5.07,18.81,17.5,17.5,21.12,16.05,18.57,5.47,4.41,3.13,1.59,8.61,6.0,7.0,4.69,2014
2014-08-14,1.92,8.11,82.19,99.26,5.53,14.48,10.67,10.67,16.44,10.91,13.68,2.87,3.56,4.6,2.13,7.48,5.69,6.26,4.29,2014
2014-08-15,3.68,8.4,85.21,99.54,6.85,14.42,11.28,11.28,17.26,10.41,13.71,2.06,1.51,3.51,2.13,5.57,3.64,4.52,2.78,2014
2014-08-16,8.85,9.47,89.44,99.5,7.0,15.07,13.07,13.07,18.69,11.69,14.8,2.8,2.81,3.76,2.03,6.57,4.84,5.17,3.14,2014
2014-08-17,1.1,9.6,81.51,99.52,9.28,16.79,13.28,13.28,21.57,12.29,16.46,6.55,3.96,0.71,0.46,7.26,4.41,4.76,3.04,2014
2014-08-18,0.02,8.02,74.06,99.71,11.76,15.72,10.58,10.58,21.08,9.32,15.18,1.88,1.43,3.51,2.14,5.39,3.57,4.56,2.82,2014
2014-08-19,0.08,8.79,72.55,99.85,11.25,16.99,11.96,11.96,21.93,10.68,16.96,4.07,2.08,0.21,0.21,4.28,2.29,2.1,1.38,2014
2014-08-20,0.09,10.93,79.07,100.07,11.74,19.17,15.27,15.27,24.47,12.73,19.08,3.42,1.42,2.91,1.98,6.33,3.4,4.38,2.67,2014
2014-08-21,5.04,11.94,89.39,100.24,4.17,18.61,16.78,16.78,20.89,16.72,18.55,2.39,2.67,3.7,1.76,6.09,4.42,4.6,2.77,2014
2014-08-22,0.53,11.31,82.84,100.4,8.57,19.15,15.96,15.96,23.4,14.83,18.93,1.32,2.08,4.22,2.08,5.54,4.15,4.93,3.02,2014
2014-08-23,0.8,10.73,75.35,100.59,8.94,19.43,15.15,15.15,23.88,14.94,19.64,4.41,2.65,0.26,0.17,4.67,2.82,3.08,2.04,2014
2014-08-24,2.47,11.24,69.4,100.61,12.04,21.36,15.82,15.82,27.65,15.61,21.73,4.81,2.26,0.31,0.26,5.12,2.51,2.24,1.39,2014
2014-08-25,0.1,12.12,76.37,100.54,10.37,21.44,17.03,17.03,26.62,16.25,21.37,3.44,1.16,2.2,1.81,5.64,2.97,4.34,2.5,2014
2014-08-26,0.29,12.63,77.3,100.12,12.18,21.9,17.62,17.62,27.41,15.23,21.78,4.74,3.09,3.38,2.06,8.12,5.16,6.09,3.73,2014
2014-08-27,0.38,11.22,75.96,99.79,8.64,20.54,15.63,15.63,24.08,15.45,20.09,3.65,2.18,3.74,2.08,7.38,4.26,5.21,3.24,2014
2014-08-28,0.22,8.56,73.83,99.93,8.2,16.96,11.59,11.59,20.59,12.39,16.29,3.25,3.13,4.23,2.38,7.48,5.51,5.55,3.38,2014
2014-08-29,0.12,8.6,74.48,100.66,11.85,17.15,11.8,11.8,22.18,10.32,16.34,3.1,1.46,2.03,1.33,5.13,2.79,3.6,2.21,2014
2014-08-30,0.32,10.61,75.59,100.23,10.31,19.44,14.88,14.89,24.4,14.09,19.36,3.85,2.66,3.42,2.21,7.27,4.88,5.93,3.43,2014
2014-08-31,9.73,15.14,93.77,99.67,4.95,21.34,20.41,20.41,24.28,19.34,21.48,2.59,3.19,5.52,2.56,8.12,5.75,6.55,4.02,2014
2014-09-01,0.6,12.47,78.99,99.76,8.08,21.16,17.36,17.36,25.39,17.31,21.16,4.19,2.59,2.2,1.32,6.39,3.91,4.48,2.75,2014
2014-09-02,7.44,14.18,85.62,99.28,10.94,22.0,19.29,19.29,28.01,17.07,21.85,3.02,3.15,4.25,2.14,7.28,5.29,5.76,3.52,2014
2014-09-03,0.69,10.23,73.91,99.8,9.09,19.26,14.22,14.22,24.29,15.19,19.06,2.14,2.8,5.48,2.84,7.62,5.64,6.41,3.91,2014
2014-09-04,0.01,11.14,75.85,100.24,12.73,20.25,15.62,15.62,26.16,13.43,20.08,2.73,1.75,3.68,2.36,6.42,4.11,5.21,3.04,2014
2014-09-05,3.77,14.25,82.39,99.83,10.99,22.64,19.46,19.46,28.02,17.03,22.66,5.98,4.05,3.79,1.79,9.77,5.84,6.98,4.37,2014
2014-09-06,5.2,11.47,83.21,99.49,11.93,19.03,15.6,15.6,22.93,11.01,18.93,4.2,3.57,4.12,2.04,8.32,5.62,6.04,3.75,2014
